"","x"
"488","@TokopediaCare Kenapa sertifikat saya belum jongol2 di dashbord prakerja padahal udah menyelesaikan semua materi sejak tanggal 11 november kemarin."
"489","ada yg mau bahas program mengatasi pengangguran sm aku jam segini ga all, bukan kartu prakerja atau pelatihan vokasional, yg lebih unik dari itu"
"490","@BPJSTKinfo Banyak rekan saya yang memiliki prakerja dapat bantuan subsidi upah,. Sangat TIDAK  ADIL"
"491","@BPJSTKinfo Perssyaratan diatas Jelas tidak ada yg memiliki prakerja"
"492","Daripada ikut love story di malam minggu, mending ikut program kartu prakerja aja. <U+0001F923>"
"493","@siskakurniaa aku lom lolos prakerja jd lom jd beban dia"
"494","Innovilage dana-nya cair gede juga ya, 1 tim bisa 10 juta , prakerja ngga ada apa-apanya, ada yang ikutan anyone ?"
"495","@ManafSamuel @fadlizon @DKIJakarta @PemdaDKIJakarta @aniesbaswedan - pemerintah tetap kebagian bantuan yg namanya PKH. BLT, BANSOS. Prakerja, dll."
"496","@OmBlangkon @tohariazka87 @umar_chelsea75 Boro2 selama ane kerja gak pernah dapet begituan dari prakerja, blt dll"
"497","Ada teman yang bilang, program pemerintah gak ada manfaatnya. Eeeee... tapi dia ngebet ikut kartu prakerja dan ngarep Bantuan BPJS KETENAGAKERJAAN. Aku sih ngakak dalam hati. Wakkkkk"
"498","@Donihendarto Wah...yg untung tukang spanduk nih kalau begini terus. Ayo yg kemarin lulus prakerja segera buka usaha cetak spanduk."
"499","@Farrasnya @tohariazka87 @umar_chelsea75 Ye hahaha , gini gini lu ikut prakerja lagi wkwk<U+0001F601>"
"500","@PartaiSocmed @jokowi Sadar gak sih. Sebagian banyak dari kita cuma disuguhi hal2 seolah2 solutif ini kita sudah senang.
Eh KPK lemah
Eh Prakerja nda jelas
Eh kerumunan ditengah pandemi
Eh pemerintah ndak serius urus pandemi
Eh paksain Pilkada 
Eh paksain UU ditengah pandemi dg dalih kinerja.
Eh
Eh
Eh"
"501","Tabe kapan itu bisa daftar lagi kartu prakerja https://t.co/aXziz3wgsD"
"502","prakerja boleh dijual ga sih?? nnya aja"
"503","stress bgt butuh duit pengen jual akun prakerja rasanya tapi ilegal <U+0001F62D>"
"504","REMINDER: TINGGAL 28 HARI LAGI KESEMPATAN KAMU UNTUK PAKAI SALDO PRAKERJA!

Mimin mau ingetin dalam 28 hari lagi saldo prakerja kamu akan hangus, nih. Sayang banget kan sudah dapat biaya pelatihan skill gratis senilai 1 juta rupiah tapi nggak terpakai? https://t.co/iQDuTdEG61"
"505","Mimin mau ingetin lagi nih kalo saldo Prakerja kamu akan hangus pada tanggal 15 Desember 2020 alias kurang dari sebulan lagi!! Sayang banget kan sudah dapat biaya pelatihan skill gratis senilai 1 juta rupiah tapi nggak terpakai? https://t.co/Hzga5H4KQS"
"506","Yuk, segera pakai saldo Prakerka kamu untuk ikuti pelatihan di Skill Academy! Jangan nanti-nanti yaa, langsung aja kunjungi https://t.co/D1hodbG80G dan pilih kelas sesuai kebutuhan dan keinginanmu!

Happy learning, teman-teman!"
"507","Yuk, segera pakai saldo Prakerka kamu untuk ikuti pelatihan di Skill Academy! Jangan nanti-nanti yaa, langsung aja kunjungi https://t.co/D1hodbG80G dan pilih kelas sesuai kebutuhan dan keinginanmu!

Happy learning, teman-teman!"
"508","Hati-hati lho, insentif kamu bisa aja nggak turun kalo kamu belum menyelesaikan pelatihan Prakerja yang kamu ambil!

Biar proses pencairan insentif kamu lancar, yuk segera selesaikan kelas pelatihan pertama kamu sebelum tanggal 15 Desember 2020 https://t.co/7kmhLFeUd5"
"509","Yuk, segera gunakan saldo Prakerja kamu di Skill Academy dan raih berbagai manfaatnya! Silakan isi form di https://t.co/k76twyE8F5 dan Tim Skill Academy akan segera menghubungi kamu.

Selamat belajar ya, teman-teman!

#SiapDariSekarang #PrakerjaGelombang11 #KartuPrakerja https://t.co/WDhOFhiNr6"
"510","Kalau kamu bingung ingin ikut pelatihan apa, tenang aja. Di postingan ini sudah Mimin rangkum 5 pelatihan favorit peserta Prakerja tahun ini! Kabar baiknya, dari masing-masing pelatihan favorit ini, tersedia lho kelas-kelasnya di Skill Academy https://t.co/O3Szlra9mS"
"511","17. c) Calon penerima tidak terdaftar sebagai penerima bansos lain dari pemerintah pusat seperti PKH, Kartu Sebako, Paket Sembako, BPNT hingga kartu Prakerja...."
"512","Prakerja kamu udah cair kan?
Yu jalan wkw"
"513","3.Calon penerima BUKAN sebagai Penerima bansos lain dari pemerintah pusat, misalnya PKH, Kartu sembako, Paket sembako, BPNT dan Kartu Prakerja.

4.Apabila Calon penerima tidak mendapat bansos lain dan tidak terdaftar, maka bisa langsung menghubungi pihak desa."
"514","@yusuf_dumdum @KemensosRI @juliaribatubara Prakerja lanjut g bang?"
"515","@tanyainrl nder itu masi sertifikat dr arkademi bkn prakerja, sm itu bisanya dibuka di laptop, knp ak masi smk mudeng ginian<U+0001F623>"
"516","15. • Calon penerima adalah mereka yang kehilangan mata pencaharian di tengah pandemi corona.

• Calon penerima tidak terdaftar sebagai penerima bansos lain dari pemerintah pusat. Seperi PKH, Kartu Sembako, Paket Sembako, Bantuan Pangan Non Tunai (BPNT) hingga Kartu Prakerja."
"517","14. Yang ketiga Calon penerima tidak terdaftar sebagai penerima bantuan sosial (bansos) lain dari pemerintah pusat,misal  PKH, Kartu Sembako, Paket Sembako, Bantuan Pangan Non Tunai (BPNT) hingga Kartu Prakerja"
"518","@kompascom Saya ikutin acara live Pak @nadiemmakarim di youtube. Disitu Bapak katakan guru yang sudah dapat bantuan dari BPJS dan Prakerja tidak dapat BSU tapi kenyataannya masih ada yang dapat bahkan d info.gtk dapat dari kemenag dapat. Tolong benar2 di perhatikan Pak biar adil."
"519","@txtdrstoryWA Nunggu prakerja gelombang 12"
"520","3. Calon penerima tidak terdaftar sebagai penerima bantuan sosial (bansos) lain dari pemerintah pusat, seperi PKH, Kartu Sebako, Paket Sembako, Bantuan Pangan Non Tunai (BPNT) hingga Kartu Prakerja."
"521","aingmah teu ngarti ka pemrentah, ai mere blt+prakerja bisa, ai vaccine covid-19 aya nu gratis aya nu mayar, ceuk aing gratiskeun kabeh blt+prakerja stopkeun, ameh kabeh bisa beraktivitas dgn selamat lancar jaya aman sentosa~"
"522","@KemenkesRI mau dapat bantuan kudu pakai syarat asu saya dari perusahaan kecil gak di kasih BPJS asuuuu , daftar prakerja data tidak terdaftar mau pulang ke kampung di kampung tidak di terima kalian tuh zolim pemerintah asuu mau kasih bantuan di persulit dng syarat 2 yang dapat yg MAMPU asu"
"523","Sertifikat PraKerja Belum Keluar - https://t.co/QnptU8m7xD CC @TokopediaCare @sekolahdesainid @PrakerjaId"
"524","@DSialaman @KemnakerRI Kan ada PRAKERJA"
"525","waw ibuku sdh dapat prakerja tp punyaku d embat juga. https://t.co/O9NfyuYa9A"
"526","@dingogreen12 @basmanbasri_ @geteormarden Iyo bib turuo, duwek prakerja tulung disuwuk ndang metu. Ben tingkat kepedeanku naik"
"527","ngantre Prakerja katanya https://t.co/v2GYPMulT7"
"528","@sbyfess ga sekalian akun prakerja ku ta?"
"529","@BPJSTKinfo Kartu Prakerja saja dinonaktifkan karena tidak saya pakai (bisa di tracking kok), berhubung saya diinfo akan ada BSU beberapa hari kemudian oleh kantor, jadi ga saya pakai Prakerjanya. Ternyata malah jadi ga dapet apapun. Sedih bener. Yaudah deh ikhlas <U+0001F60C>"
"530","@Dhani_Barker Prakerja udah buka belom?"
"531","@vierda Tp dapet prakerja ga kak ?"
"532","@muhamadroyani5 kalo gw ini dpt blt yg dari bpjs, yg gaji under 5jt. kalo prakerja gw gapernah daftar"
"533","@Ontaaa69 Dpt kartu prakerja"
"534","@SasmitoWahyuP1 Koyo kartu prakerja wajib memberikan ulasan wkwk"
"535","@jokowi Sedih adalah ketika daftar prakerja dr gel 1 sampe 11 ga lolos2. Dan ga dapet 1 macam pun blt pemerintah dlm bentuk apapun. Padhaal terdampak bgt gara2 pandemii <U+0001F614><U+0001F614>"
"536","Habis dalam hitungan hari ni uang prakerja."
"537","@DKIJakarta @KUKMPDKIJKT @aniesbaswedan @BangAriza @perumdpasarjaya walau tanpa kartu prakerja, walau tanpa BLT, kucoba tuk bertahan menjalankan #umkm 
Cek Review produk nya
https://t.co/H35sIRe6tv"
"538","Sepatu volly = 300rb
Baju volly = 200rb
Manset kaos kaki = 150rb
Total= 650rb
Dari mana dana itu didapat??? 

Dana Intensif Prakerja lah <U+0001F923><U+0001F923>"
"539","@HimuraNobi @YantiBahrii @CepatBis @cangtipwardalam @DesiARianti2511 @intanmu_ @cikamid_ @anakbiasa02 Daftar apaan mang?prakerja?"
"540","@Salsashara waaa lolos prakerja beb? :’)"
"541","@panduabdillah Ku keluarkan kartu prakerja aja wes:("
"542","Cok, gara-gara aku gojek dibobol insentif prakerja sampai saiki durung nrimo."
"543","Bahagianya kalo tetiba duit prakerja turun. Ok, ini terakhir, terimakasih 4 bulannya prakerja sudah menemani dikala nganggur <U+0001F60D><U+0001F970> https://t.co/m62TkcUO0C"
"544","Dear @gojekindonesia 

Akun gojek saya sudah di upgrade gopay plus tapi kenapa dana insentif dari prakerja belom masuk ya ? Padahal di keterangan dashboard ada bacaan berhasil di transfer, tapi ketika saya cek di gopay saya blm bertambah saldo.

Mohon bantuannya ya, thx"
"545","@Anna_Masue3 Ngapain takut dipecat, kan ada kartu prakerja"
"546","@sbmptnfess aku belom belajar malah. ikut pelatihan prakerja, bantu usaha mama di rumah (dpt duit), sama lagi mulai nulis di media/wattpad. masih pengen seneng2 dulu rencananya belajar bulan desember.."
"547","@e100ss Klo q jdi bos tnggal nyatet sapa2 bsok ikut demo tukang demo bolas bolos ae lngsung pcat drpd d perush cm jd toxic . Buruh toxic ga bsyukur  RAKUS PGN KAYA KOK JDI BURUH. Minta gji UMR, dana prakerja d kejar2, BLT yo d emplok kerjo ga genah dema demo ae weduss"
"548","Di Indonesia lebih enak ngk kerja dapat duit BLT UMKM PRAKERJA lapangan pekerjaannya buat CINAX https://t.co/P5h3zBDfED"
"549","@elshaeyp Gatau sha aku juga ga ngerti sama prakerja teh, pas nyari di youtube jg banyak testimoni dr karyawan kantoran yg dapet juga ternyata, ntah lah... jd pingin ikutan<U+0001F602>"
"550","Ada yg lebih males daripada gue huhu padahal buat diri nya sendiri, gak punya rasa keinginan kali ya. Daftar kerja swasta gak mau, pns gak mau, daftar go/grab food buat usaha nya gak mau, daftar kartu prakerja alasan gagal gak bisa pas submit daftar :("
"551","@OnRie1420 holkay tak akan mengemis duit prakerja<U+0001F602>"
"552","@CNNIndonesia Pak nadiemm kenapa BSU tidak semua guru honorer dapet padahal terdaftar di dapodik sudah tidak ikut prakerja jugaa"
"553","Ikut daftar prakerja dari gelombang 1sampai gelombang 10 tidak ada yang lolos satupunn begitu pun sekarang bantuan untuk guru honorer tidak dapet jugaa, apakah diriku ini tidak layak mendapat bantuan dari pemerintah ?"
"554","Gapok 3.5 jt+ lisensi 2 jt+ 600 rb bansos+ 600 rb prakerja = 6.7 jt hasil ngecheat"
"555","@bunga_mungil_id Seandainya ada L2D vtuber lokal yang membahas TPS SBMPTN 2021 atau masalah prakerja, anti mainstream tapi berfaedah"
"556","prakerja banyak yang jadi joki, dapat umkm buat pribadi aja, ini lagi bantuan kelompok tani dalam bentuk barang di jual trus uangnya di bagi bagiin. engga gitu konsepnya bosku."
"557","@sosiologist @tempodotco gw besar byar pajak..kl elu ngandalin kartu prakerja..xixix"
"558","Siapa aja ini yg dapet prakerja hayoo"
"559","Gua kira ada yg salah kirim
Taunya saldo prakerja gua udh cair wkwk https://t.co/V8c6VVxX4n"
"560","@luqman_am kayak prakerja"
"561","@NyimasRaspati miris kalau masih ngarep bantuan / uang dari prakerja"
"562","@STUDILMU @tokopedia @bukalapak @Pijarmahir Betul banget. Jangan pakai lama buat beli voucher pelatihan Prakerja di aplikasi @bukalapak  kamu. Caranya mudah, tinggal login dan pilih menu Prakerja dan kamu bisa milih pelatihan yang kamu inginkan."
"563","kak @ccdukcapil kenapa ya nomor kartu keluarga saya tidak terdeteksi di website prakerja.  No KK. 7501011811200001,"
"564","Gondok sama prakerja ga cair cair"
"565","Seneng itu ketika dapet notif Link aja dari prakerja <U+0001F923>"
"566","@intanquinn @MaspiyuO <U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602> cebong pada miskin makanya pada ngantre kartu prakerja<U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602>"
"567","@rizky_sifaul Saya ikut kelas data science dr prakerja, seru jugaaa"
"568","@peacheeps Jbjb bisa beli pakai saldo prakerja ga sih<U+0001F602><U+0001F602><U+0001F602> https://t.co/LJn1GtnlBi"
"569","@worksfess biasanya di prakerja ada"
"570","terima kasih prakerja *if you know what i mean* <U+0001F929><U+0001F92A>"
"571","Kapan Prakerja Gelombang 12 Dibuka, Login https://t.co/xvj2jdtz36, Ada Informasi Penting dari KCK https://t.co/jQ4J1ERKHl"
"572","@dukcapilslawi kalo saya mau update ktp elektronik agar sesuai dgn yg di kartu keluarga gimana ya caranya? Karna nik ktp saya yg dicetak dan di kartu keluarga beda nomer. Sedangkan yg terdaftar di akun prakerja yg di kartu keluarga. Mohon bantuannya"
"573","@MelindaAghnia ini thn berat bgt <U+0001F62D>
adu mulut sama nyokap eh diusir udahlah numpanglah dirmh tmn 4hari akhirnya kos sendiri dengan sisa² uang.
kamar pernah kemalingan, eh blm lama ditipu tmn soal prakerja <U+0001F643> 
bnr² jungkir balik thn ini tapi gpp"
"574","Dot ken sendal gunung greenlight ane keto puk. Kleee kapan lolos kartu prakerja. njing"
"575","Kok enak?!
https://t.co/bPCXVqVN2h
#RememberLifeGoesOn
#LifeGoesOnWithBTS
#BEbyBTS
#NewEraBEgins"
"576","Shopee 12.12 jangan sampe keduluan bot lagi sih males bgt
https://t.co/bPCXVqVN2h
https://t.co/cdorpeEmtw"
"577","Ada apa dengan pelatihan Barista di Bencoolen Coffee <U+0001F914> 

Silahkan daftar pelatihan Barista di link ini https://t.co/k3o7iRA6hM

@BARISTAMAGAZINE @baristapdx  @espresso1108  @baristakopi @PrakerjaId  @MauBelajarApa 
@wrausahamandiri 
#prakerja  #bisnis  #kopi  #penikmatkopi"
"578","qmu jangan takut pacaran sama aq
Penghasilan qu setara Umr Jogja
Ditambah transferan Kartu Prakerja."
"579","""Sayang? Kok kamu jarang ajak aq jalan?""

""Transfer kartu prakerja belom turun"""
"580","@thismingyu_ IHHH HATI2. Banyak bgt penipuan yg mengatasnamakan prakerja. Temenku juga pernah kena, untung keburu sadar"
"581","@gopayindonesia hay kak , kenalin syaa ervira , saya pengguna gopay yang menerima dana prakerja dari gopay , tapi kenapa ya uang saya belum masuk juga kak? Uda 1x24 jam"
"582","@jujujuju1_10 @ArnoldPoernomo Prakerja?"
"583","@VICE_ID setiap hari di kirimin uang prakerja haha"
"584","Lagi nunggu duit prakerja turun nih<U+0001F92D>
Lumayan kan"
"585","@karirfess Ikut prakerja aja"
"586","@Rosycheekss_ Iya, bikin ""Ini kenapa prakerjamu gak diterima, tips memilih pelatihan prakerja yang cepat mendapat sertifikat."""
"587","Mungkin drama Yoona bukan drama cinta dan semoga ga ada cinta cintaannya. Bosan lihat drama Korea yang cinta2an ga jelas. 

Drama Yoona, Hush lebih ke lingkungan kerja. Anak baru dunia kantoran. Yang mau magang, fresh graduate, prakerja, cocok kalian nonton drama ini"
"588","@Kemendikbud_RI Alasan yang ikut Ketenagakerjaan dan Prakerja gtk Non PNS tidak mendapatkan bantuan dr kemendikbud???"
"589","@BPJSTKinfo Trus maaf min mau tanya lagi, benarkah yang mendapat kartu prakerja , tidak akan bisa mengklaim subsidi upah BPJSTk?"
"590","@d3sertLion @RamliRizal Kalah debat bilang buzzerrp. Kalah pilpres bilang curang. Kata lu emang dunia medsos ini cuma milik kaum lu? Mana data lu? Kalo kata lu punya data? Mari kita adu data. Memang kartu prakerja blm sempurna. Tapi banyak juga nolong orang termasuk elu juga yg daftar."
"591","@d3sertLion @RamliRizal Gue belum gila kayak lu, boss. Gimana calo dan oknum punya banyak account ceritanya? Lu daftar aja pake e ktp? Nyerocos kayak bajaj tapi lu pasti duluan daftar kartu prakerja."
"592","<U+0001F3B6> Kau datang dan pergi
Oh, begitu saja
Semua kuterima apa adanya <U+0001F3B6>

Nasib duit prakerja umurnya pendek bener dah"
"593","@Hilmi28 Krn kursus prakerja..."
"594","@wongserang_ prakerja doang sing ulih mad..
Sing lianne ore..<U+0001F60A>"
"595","@wongserang_ ape kite doang lamun mengan twitter, ig, youtube n fb ngebukene ning chrome...<U+0001F92D><U+0001F926><U+200D><U+2642><U+FE0F>
Sing sering dibuke :
1. Twitter
2. IG
3. Kartu Prakerja
4. FB
5. komik
6. Nongton pelem 

<U+0001F602><U+0001F923><U+0001F605> https://t.co/eoZ1E3i31U"
"596","met pagi buat kalian yg belum dapet prakerja"
"597","Gambar Lonceng di Halaman Dashboard Kartu Prakerja, Apa Kegunaannya? https://t.co/IPx882TsVU https://t.co/EOVFWonc4g"
"598","Mau daftar prakerja kok gak bisa bisa ..udah hidup sendiri sama anak ..pak presiden yg terhormat"
"599","@DiajengLrst Kak ayas karena udah dapat prakerja ya? Alhamdulillah berarti tinggal menunggu aja ini :')))"
"600","Menteri Koordinator bidang Perekonomian @airlangga_hrt  mencatat kebutuhan lapangan kerja baru mencapai 13,4 Juta.

Salah satu program pemerintah mengatasi pengangguran tsb dengan Kartu Prakerja.
@PerekonomianRI

Kawal OBL Demi NKRI
#PekerjaanUntukRakyat 

https://t.co/nfFRb2g2wQ"
"601","@TokopediaCare Kak knpa ya, srtifikt di dashboard prakerja masih 0 dan status masih aktif, pdhl kmrin sya sudh dpt srtifikt dri lembaganya, apa krna email di akun tokped brbda sma email di prkerja ya?mohon pencerahan nya, sya mau beli pelatihan lagi di tokped tdk bsa soalnya<U+0001F64F><U+0001F97A>"
"602","@TokopediaCare Pgi min, mau tnya klau di tokped emailnya brbda sma email yg di dftrkan di krtu prakerja itu nti brpngruh di insentif dan sertifikat gk ya?"
"603","cpns<U+274C> 
BLT <U+274C> 
BSU<U+274C> 
Prakerja<U+274C>

<U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62B>"
"604","Met pagi para penerima prakerja"
"605","@howudoingggt @worksfess itu emang fungsinya buat verifikasi gitu2 kek di kartu prakerja juga. cairin duit bpjs pun pake selfie ktp makanya hati2"
"606","Harus menyediakan 13,4 juta lapangan pekerjaan, pemerintah gunakan kartu prakerja sebaga strategi. <U+0001F44D><U+0001F44D>

Kawal OBL Demi NKRI
#PekerjaanUntukRakyat https://t.co/2o5JPMIzfJ"
"607","Menteri Koordinator (Menko) bidang Perekonomian Airlangga Hartarto mencatat, kebutuhan lapangan kerja baru mencapai 13,4 Juta.
untuk mengatasi masalah pengangguran tersebut adalah dengan Kartu Prakerja,

Kawal OBL Demi NKRI
#PekerjaanUntukRakyat

https://t.co/RYtiuzemps"
"608","Blt bpjs, blt umkm dan kartu prakerja, hanya alibi agar mereka bisa korupsi. Karena disana ada anggaran di situ ada gerangan"
"609","Materi Kursus Pelatihan Online Gratis Seperti Program Kartu Prakerja #Materi #Kursus #latepost #LPK #Kerja #Gratis https://t.co/JSng0Z6aIW"
"610","@hacktiv8id Saya udah mengikuti belar ny kira kira kpan sertifikat saya muncul di dasbord prakerja ny"
"611","Bantuan2 dari pemerintah ndk dapat. Prakerja pun aku ndk daftar. Aku memang malas ngurus2 begitu, ribet.

Ehh rejeki emang ndk kemana. Ada pula nama aku dibantuan kemdikbud.

Tapi mau login susah sekalii... ini jadi rejeki atau ndak yaa <U+0001F606>"
"612","Masak kalah sama prakerja wkwkwk 
Prakerja banyak banget udah gitu pake gelombang gelombang gitu saking banyaknya, ini cuma ngurus honorer sampai 3 hari mati web nya <U+0001F602>"
"613","@ma58oy Kartu prakerja uliha? BLT UMKM ulih?

Wih lah cair <U+0001F601><U+0001F44D>"
"614","@Cicaadingding Bayar utang disubsidi negara jadi nya klo pke prakerja, gokil juga"
"615","@KemnakerRI @idafauziyah Cape daftar kartu prakerja nga bisa ,terus mau ngomong apalagi yah kami sih cuma bisa mimpi mks atas mimpinya bpk ibu sekalian"
"616","@idmf21 @RDinsan24 @M_Asmara1701 @DivHumas_Polri Klo dlm pelaksanaan nya lebih spesifik lg masyarakat yg mana dlu yg berhak mendapat bantuan??
Ouh iya terkait kartu prakerja apa betul tidak ada isu keuntungan sepihak dr pembuat program kartu tsb??"
"617","Eh turun prakerja"
"618","01:20 AM in the middle of nowhere
.
Prakerja
Bekerja
Dipekerjakan
Dikerjai
.
.
.
Buruh mental Bos https://t.co/acNVOW9Nlu"
"619","@sygfess dropship aja, sama ikutan prakerja pemerintah, lumayan perbulan 600k kalo gasalah"
"620","@TokopediaCare Pernah ada kendala saat dini hari order training Prakerja.
Kontak CS saat itu juga dan beberapa saat kemudian problem solved -- ditambah pesan motivasi ""Semoga sukses pelatihan dan karir nya Kak<U+0001F44D>""
Terharu dan salut dengan kebaikan Staff CS Tokopedia <U+0001F44F><U+0001F3FB><U+0001F339>
#CFSTokopediaCare"
"621","@TokopediaCare Pernah ada kendala saat dini hari order training Prakerja.
Kontak CS saat itu juga dan beberapa saat kemudian problem solved -- ditambah pesan motivasi ""Semoga sukses pelatihan dan karir nya Kak<U+0001F44D>""
Terharu dan salut dengan kebaikan Staff CS Tokopedia <U+0001F44F><U+0001F3FB><U+0001F339>
#CFSTokopediaCare"
"622","@TokopediaCare Pernah ada kendala saat dini hari order training Prakerja.
Kontak CS saat itu juga dan beberapa saat kemudian problem solved -- ditambah pesan motivasi ""Semoga sukses pelatihan dan karir nya Kak<U+0001F44D>""
Terharu dan salut dengan kebaikan Staff CS Tokopedia <U+0001F44F><U+0001F3FB><U+0001F339>
#CFSTokopediaCare"
"623","@TokopediaCare Pernah ada kendala saat dini hari order training Prakerja.
Kontak CS saat itu juga dan beberapa saat kemudian problem solved -- ditambah pesan motivasi ""Semoga sukses pelatihan dan karir nya Kak<U+0001F44D>""
Terharu dan salut dengan kebaikan Staff CS Tokopedia <U+0001F44F><U+0001F3FB><U+0001F339>
#CFSTokopediaCare"
"624","Sadly, kelas-kelas yang 'gue banget' full pack nya cuma bisa diakses sama kartu prakerja."
"625","Punya Kendala Terkait Pelatihan dan Sertifikat Kartu Prakerja? Berikut Hal Yang Harus Dilakukan https://t.co/of3gsQbQAJ"
"626","Ada blt,bansos,prakerja,bsu,paketdata,dll, gak dapat semua, tapi alhamdulillah berrti dianggap org kaya aku hahahah.."
"627","Saya termasuk penerima kartu prakerja Gel 11. Saya kaget krn saat mencoba masuk dashboard, tidak berhasil. Saya mereset password dgn NIK, muncul alamat email yg BUKAN MILIK saya. Apa ini termasuk pencurian data? Kmn saya harus melapor?  #kartuprakerja #disnaker #KEMENAKER_RI"
"628","Saya termasuk penerima kartu prakerja Gel 11. Saya kaget krn saat mencoba masuk dashboard, tidak berhasil. Saya mereset password dgn NIK, muncul alamat email yg BUKAN MILIK saya. Apa ini termasuk pencurian data? Kmn saya harus melapor?  @CCICPolri @disnaker @menakertrans"
"629","Jadi inget dulu waktu sekolah nak kanak ayu ganteng dengan gampangnya minta ttd mas mbaknya tinggal senyum doang. Aku kudu joged monyet hapal uud sampe ruu prakerja dulu :) https://t.co/KvmsVgYRK0"
"630","Agak emosi ya sist, itu serti prakerja kenapa ga dienter ya ampe nubruk borderline wkwkw https://t.co/lLS2ccDDXo"
"631","@ARMYTEAMIID Sedihh bgt besok ada zoom prakerja dr pagi sampe sore padahal ingin ikut berpartisipasi buat cb ini <U+0001F62D><U+0001F62D><U+0001F62D>
#BETODAY 
#<U+BC29><U+D0C4><U+C18C><U+B144><U+B2E8> #BTS #LifeGoesOn 
@BTS_twt"
"632","@juliantozetem11 @N_AraJKT48 webinar prakerja"
"633","@bogorfess_ Saya juga awalnya tidak tahu, saya ambil kelas buat comic, lalu saya ikuti 4 ujiannya dan 2 kali webinar.
Dapet sertifikat, baru terupdate 7 hari ke Prakerja.
Langsung muncul 4 pembayaran ke e-wallet yang telah terjadwal pencairannya."
"634","@bogorfess_ Termasuk menonton &amp; ikut serta dalam webinar pelatihan tersebut, lalu saat pelatihan pun harus lulus dengan nilai minimal yang ditetapkan pelatihan tersebut.
Setelah selesai barulah mendapatkan sertifikat, sertifikat baru akan terupdate 7 hari ke Dashboard prakerja kita."
"635","@bogorfess_ Jangan terlalu berharap dengan tgl pencairan/ transfer dari Prakerja ke e-wallet akan tepat waktu, realitanya akan dikirim 4 hari kerja dari tanggal yang ditetapkan pencairannya.
Intinya ikuti &amp; sabar."
"636","@beenhurtagnes Prakerja?"
"637","@ElangUtara6 @RamliRizal Contoh kartu prakerja, dengan begitu banyak nya calo &amp; oknum yg memiliki banyak akun utk meraup subsidi hasil dari ngutang apakah itu tepat sasaran dan terkontrol? Situ waras? <U+0001F605>"
"638","@ElangUtara6 @RamliRizal Hahaha... Kelamaan hidup di kolam lo cok, lu follow aja instagram prakerja, trus lu nyimak tu biar lu nggak keliatan bloon...<U+0001F602>"
"639","@DukcapilSumsel saya  mau daftar prakerja koq kk Dan Nik saya koq kalimatnya tidak valid?"
"640","@ansxbella situ kan ada prakerja -_-"
"641","@EOJINxLB Dapet kartu prakerja ga?"
"642","@asyiqmln @Audreythink @ci_oci @BANKBRI_ID Oalah itu sih prakerja wkwkwk"
"643","@pawdroolable coba daftarin prakerja deh"
"644","@musniumar Rakyat sudah dicekoki dengan berbagai macam BLT, buruh sudah pakai BLT Kemenaker (2,4Jt), GURIH
pencaker dikasi BLT Prakerja,
Pelaku UMKM dapat juga.
Hadeuh diem semua, pak jokowi orang baik.
Entah duit dari mana??? Walau bertanya2 tapi ini GURIH!!"
"645","@Hendripoheng Prakerja ish ono program ora?"
"646","@jokowi Usaha yg mana pak? Usaha tambang batubara yg dimiliki para pejabat negara? Apakah seluruh rakyat Indonesia memiliki basic untuk usaha? Diberi pelatihan untuk usaha saja tidak terus mau bilang pelatihan melalui kartu prakerja, yakin kartu itu sudah bisa diakses seluruh rakyat?"
"647","@WiwikwidayatiA Pengen gitu ngerasaain prakerja, BLT <U+0001F612>

Selamat ya <U+0001F601>"
"648","@AMUMAN02 @handokotjung Itu Eno bening prakerja juga? <U+0001F602>"
"649","@trynamlnaaa Pamer ATM, Skandal Video Artis, Taman Komodo, Kumpul2 pilkada, Vaksin Ngga jelas, kasus prakerja, pembunuhan anak kecil di aceh, demo omnibuslaw ricuh, kasus maybank"
"650","Kerkom prakerja yok"
"651","@TiaraaKinanti Rip prakerja<U+0001F62D>"
"652","Ih orang orang dapet duit dr kartu Prakerja sama Bantuan BLT yg gajinya umr duitnya dipake buat apa ya??<U+0001F605>

Gw ga ngarep sih hahaha masa ngarep sama pemerintahan ky gini ew"
"653","@BPJSTKinfo Ass. Maf min ad yg ad yg perlu sy tnyakn perihal BSU dan Program prakerja.. mnrut pmhamn sy program prakerja itu programx Jokowi sdgn BSU yg terdampak pandemi kementrian ketenagakerjaan ibu Ida Fauziah tda pernah mengatakan klau yg dpat program prakerja tda dpat BSU. Mhon pnjlsnx"
"654","@KemnakerRI @KomisiIX Ass. Maf min ad yg ad yg perlu sy tnyakn perihal BSU dan Program prakerja.. mnrut pmhamn sy program prakerja itu programx Jokowi sdgn BSU yg terdampak pandemi kementrian ketenagakerjaan ibu Ida Fauziah tda pernah mengatakan klau yg dpat program prakerja tda dpat BSU. Mhon pnjlsn"
"655","Sori sori nih bg @billiejoe posisi lo terancam ama oshinya temen gue,mending lo ikut prakerja aje bil biar duitnya bisa beli vc oshi. https://t.co/GXcx9rYjPS"
"656","@ladazaa Daftar prakerja"
"657","@orgsundaasli prakerja tuh apa?"
