"text","total","positive","negative","score","label"
"kewirausahaan latih prakerja berik strategi baru buka usaha contoh kelas masker",1,1,0,1,"Positif"
"sayang banget sudah biaya latih skill gratis nilai tidak pakai yuk saldo prakerja latih skill academy jangan kunjung link ambil latih nya",3,2,1,1,"Positif"
"reminder terima bantu prakerja sempurna pakai saldo prakerja kurang fyi kalo saldo prakerja hangus tanggal desember alias kurang",4,2,2,0,"Netral"
"bingung ingin latih tenang sudah rangkum latih favorit prakerja baik latih favorit sedia lho kelas kelas skill academy tidak wajib webinar",6,4,2,2,"Positif"
"survei bps program kartu prakerja tingkat terampil terima",4,3,1,2,"Positif"
"prakerja gelombang sil",0,0,0,0,"Netral"
"ribu survey kartu prakerja dashboard prakerja download aplikasi tribunnews update berita baru android",0,0,0,0,"Netral"
"baru jadwal kartu prakerja gelombang buka lewat",0,0,0,0,"Netral"
"kontribusi tim bu sulut tikai selamat menang gugat sengketa informasi kait prakerja",3,3,0,3,"Positif"
"survei badan pusat statistik bps mayoritas program kartu prakerja manfaat kepesertaannya program",1,1,0,1,"Positif"
"survei angkat kerja nasional sakernas bps program kartu prakerja tingkat terampil kerja terima",7,6,1,5,"Positif"
"program kartu prakerja laku lama tujuh daftar sudah capai orang minat tingkat kerja lanjut",3,2,1,1,"Positif"
"gtk non pns sudah bantu prakerja bsg min",0,0,0,0,"Netral"
"sih lulus hogwarts kartu prakerja",1,1,0,1,"Positif"
"halo min siang data budget website prakerja",0,0,0,0,"Netral"
"survei bps mayoritas program kartu prakerja tingkat terampil",3,2,1,1,"Positif"
"latih prakerja gampang proses tidak pakai ribet sertifikat cepat insentif tidak pakai lama bukan studilmu beli vouchernya id latih aplikasi studilmu",6,2,4,-2,"Negatif"
"daftar foto screenshot sertifikat vouchers latih prakerja studilmu telegram gratis kualitas misi enlightening indonesia",1,1,0,1,"Positif"
"aplikasi studilmu sedia google play store ios app store mudah kakak ajar",1,1,0,1,"Positif"
"aplikasi studilmu sedia bentuk aplikasi google play store ios app store mudah kakak ajar",1,1,0,1,"Positif"
"latih prakerja tanpa ribet latih kartu prakerja studilmu aplikasi mudah tidak ribet beli voucher latih studilmu mitra resmi go id id",5,1,4,-3,"Negatif"
"kursus puas langgan wajib bangun tah langgan loyal kursus id program kartu prakerja kursus laris beli saldo prakerja",3,2,1,1,"Positif"
"selesa latih prakerja belum desember latih pengaruh insentif prakerja",3,2,1,1,"Positif"
"tunggu latih prakerja studilmu beli vouchernya id selesa belum desember",1,0,1,-1,"Negatif"
"sih prakerja",0,0,0,0,"Netral"
"latih prakerja selesai insentif",1,1,0,1,"Positif"
"program prakerja tidak bikin rekening via ovo linkaja",1,0,1,-1,"Negatif"
"nder gapapa kali duit beasiswa bukan duit kasi pemerintah bayar kuliah intensif prakerja loh pakai bebas beli bukan tersier kecuali kalo sudah tajir mlintir beasiswa heboh sabar",3,2,1,1,"Positif"
"tidak pakai kartu prakerja ndan",1,0,1,-1,"Negatif"
"teman teman ngeluh tidak bsu diinget ajuin kartu prakerja tidak lolos prakerjanya otomatis tidak bsu",6,1,5,-4,"Negatif"
"prakerja segmentasi pasar jatohnya orang butuh duit bukan butuh skill masuk dunia kerja",1,1,0,1,"Positif"
"latih prakerja dana hasil terima bank bni belum dana masuk rekening status insentif dana sudah hasil transfer",4,3,1,2,"Positif"
"kak prakerja daftar rek bni sumber terima dana dana hasil masuk dana hasil transfer rek bni belum dana masuk salah rek bni",4,2,2,0,"Netral"
"wirausaha linting duniawi harap prakerja turun jingann",2,0,2,-2,"Negatif"
"iyess des cutber tanggal doang kalo daftar prakerja wae latih ngerakit bom hufhh",1,0,1,-1,"Negatif"
"sido cok alhamdulilah dadi calo prakerja lumayan iki",3,1,2,-1,"Negatif"
"daftar kartu prakerja gelombang buka",0,0,0,0,"Netral"
"kartu prakerja bohong tidak tau",2,0,2,-2,"Negatif"
"pilih tidak asih prakerja glo gagal balas budi",2,0,2,-2,"Negatif"
"resmi jadwal daftar kartu prakerja gelombang deadline desember cek",1,0,1,-1,"Negatif"
"instagram shopee shopee website kartu prakerja",0,0,0,0,"Netral"
"belum bang give away pemerintah tidak sekal prakerja bpum",2,0,2,-2,"Negatif"
"mah prakerja pakai ovo link",0,0,0,0,"Netral"
"beda prakerja",0,0,0,0,"Netral"
"lumayan prakerja tinggal tunggu cair terima kasih jokowi",4,4,0,4,"Positif"
"prakerja buka sih",0,0,0,0,"Netral"
"terima prakerja tidak kemnaker sedabgkan bpjs ku terima kartu prakerja tidak hak blt",4,2,2,0,"Netral"
"bts blt bpjs prakerja coba cek rekening karyawan subsidi tidak moga tidak kufur nikmat jangan adu domba orang jabat tidak prestasi",8,3,5,-2,"Negatif"
"samping ngurusi prakerja e rencang doyo",0,0,0,0,"Netral"
"program prakerja suka salah sasar butuh tidak terima tidak butuh terima teman kerja transjaka apply terima deh enak gaji gede harus tidak butuh gliran anggur apply uban tolak",10,5,5,0,"Netral"
"selamat malam min tany blt tahap tidak usaha sudah daftar karti prakerja sbgian teman blt mohon min trmksh",2,1,1,0,"Netral"
"tau ata nik bawah kartu nomor prakerja bawah tanggal aktif suai syarat nomor rekening daftar tidak cek dipengaturan tidak options terimakasih mohon bantu",3,1,2,-1,"Negatif"
"aguero putus dagang ketoprak lihat update p lebih pilih daftar kartu prakerja",2,1,1,0,"Netral"
"halo gais beli latih skill academy khusus non prakerja boleh banget dm skill tambah",2,1,1,0,"Netral"
"hai gaiss beli latih skill academy khusus non prakerja boleh banget dm diskon tambah",2,1,1,0,"Netral"
"bayar mbak bikin rekening prakerja tidak pakai deposit alias gratis",2,1,1,0,"Netral"
"bangun tidur kaya ngutang ngempanin rakyat bansos prakerja bantu bpjs naker umkm bayar bunga utangnya bpjs sehat listrik tol dinaikin deh imbas bahan pokok naik miskin larat sial banget deh",7,5,2,3,"Positif"
"sektor goyang orang kerja dagang prakerja salah sasar resesi solusi kurang belanja lebih kurang kian terima kasih",8,4,4,0,"Netral"
"tenaga didik gigit jari bsu tidak coba prakerja tidak lulus gelombang bpjs ketenagapekerjaan tidak prakerja bsu urus cair bpjs ketenagapekerjaan double",7,3,4,-1,"Negatif"
"benar daftar latih tidak selesa arti tidak terima dana kartu prakerja kak sudah lama sudah kitar tidak selesa",6,2,4,-2,"Negatif"
"poin sudah usaha urus poin daftar latih kartu prakerja tidak tidak terima dana prakerja",3,1,2,-1,"Negatif"
"orang sudah terima dana prakerja blt",1,1,0,1,"Positif"
"bikin rekening bni prakerja tidak pakai saldo kak",1,0,1,-1,"Negatif"
"daftar kartu prakerja tidak gelombang tutup coba daftar tidak tidak tuh tidak email verifikasi sekal email banget daftar tidak email verifikasi",5,0,5,-5,"Negatif"
"miris dngar bapa tetangga bodoh orang joki prakerja",1,0,1,-1,"Negatif"
"blt prakerja sultra via bank bni cair",1,1,0,1,"Positif"
"prakerja cair nya lancar suai tanggal jadwalin bohong sih jahanam",5,2,3,-1,"Negatif"
"maaf bikin rekening prakerja bni gratis",2,2,0,2,"Positif"
"daftar prakerja kena dampak resesi",1,0,1,-1,"Negatif"
"benar bohongin minjem bilang prakerja belum cair",3,2,1,1,"Positif"
"nih model nganggur kuliah oke terima belum rejekinya kerja nongkrong asih duit kuota belikan minjem bikin rekening bni lolos prakerja",5,4,1,3,"Positif"
"kak rekening bni prakerja bukan tidak pakai saldo",1,0,1,-1,"Negatif"
"kerja kerja kerja prakerja",3,3,0,3,"Positif"
"survei evaluasi program kartu prakerja sudah buka",0,0,0,0,"Netral"
"keren presiden jokowi bangun infrastruktur kebut sdmnya kartu prakerja selamat pagi mbak syanaz",3,3,0,3,"Positif"
"anarkis bikin prakerja",1,0,1,-1,"Negatif"
"kali prakerja cair sudah",1,1,0,1,"Positif"
"malam sahabat terima kasih data informasi bantu ecek belum penuh kriteria terima bsu sudah daftar program prakerja",6,4,2,2,"Positif"
"malam sahabat terima kasih data informasi bantu ecek belum penuh kriteria terima bsu sudah daftar program prakerja informasi syarat calon terima bsu",7,5,2,3,"Positif"
"pagi sahabat terima kasih data informasi bantu ecek belum penuh kriteria terima bsu sudah daftar program prakerja",6,4,2,2,"Positif"
"pagi sahabat cek sahabat sudah daftar terima kartu prakerja ruh",1,1,0,1,"Positif"
"pagi sahabat mohon maaf nyaman terima kasih informasi data berik bantu ecek belum penuh kriteria terima bsu sudah daftar program prakerja angga",8,6,2,4,"Positif"
"siang sahabat konfirmasi daftar program bantu prakerja ziah",0,0,0,0,"Netral"
"malam sahabat terima kasih data informasi bantu ecek belum penuh kriteria terima bsu sudah daftar program prakerja informasi syarat calon terima bsu aktif minimal juni",7,5,2,3,"Positif"
"terima kasih data berik cek sahabat daftar terima kartu prakerja vey",3,3,0,3,"Positif"
"selamat sore sahabat perihal belum terima bsu cek sahabat daftar terima kartu prakerja vey",4,3,1,2,"Positif"
"pagi sahabat terima kasih data informasi bantu ecek belum penuh kriteria terima bsu sudah daftar program prakerja informasi syarat calon terima bsu aktif minimal juni",7,5,2,3,"Positif"
"hehhe curhat fase tidak support system masuk cuma ngandelin prakerja habis jangan lewat jangan belum tidak tau masuk yuk semangat nder tau kuat wipe ur tears",8,3,5,-2,"Negatif"
"tidak nder doang dikit cuma beli teci nutrisari uang prakerja",1,0,1,-1,"Negatif"
"buzzer prakerja",1,0,1,-1,"Negatif"
"alokasi dana prakerja terimakasih xob",1,1,0,1,"Positif"
"tanggal tua ngarepin dana prakerja ribu gaturun sih b",0,0,0,0,"Netral"
"antri kartu prakerja",1,0,1,-1,"Negatif"
"prakerja kpps gaji",0,0,0,0,"Netral"
"kalah sabet kartu prakerja",1,0,1,-1,"Negatif"
"bukan iri cuma kasihan daftar prakerja benar butuh tidak",5,2,3,-1,"Negatif"
"teman sudah kerja gaji sudah blt daftar prakerja gila",2,1,1,0,"Netral"
"pengin lolos daftar prakerja",1,1,0,1,"Positif"
"live jam youtube latih prakerja",0,0,0,0,"Netral"
"youtubnya latih prakerja",0,0,0,0,"Netral"
"dulur ku duwek prakerja ambek umkm langsung gawe dp sepeda alhamdulillah onok corona sepedae tambah anyar anyar",2,1,1,0,"Netral"
"sih ku r jenis online program prakerja latih online kalo efektif tidak efektif sih gantung komitmen niat ajar online offline",6,3,3,0,"Netral"
"bukan program kartu prakerja hai milik atur arah jalan hidup",0,0,0,0,"Netral"
"bukan program kartu prakerja hai arti tuju hidup kadang lintas istirahat jenak penat aktivitas",1,0,1,-1,"Negatif"
"bukan program kartu prakerja hai pikir sudah benar benar paham islam lama anut baik yuk gabung program islam for beginner",6,4,2,2,"Positif"
"mudah program favorit berik testimoni baik ayo hadiah tarik nilai",5,5,0,5,"Positif"
"prakerja laksana live instagram bahas lebih lanjut skill cuan tarik unjung instagram",2,2,0,2,"Positif"
"bukan program kartu prakerja hai daftar aji online islam for beginner desember lho",0,0,0,0,"Netral"
"hai yuk manfaat sisa saldo kartu prakerja tambah skill hadiah tarik voucher pulsa modal usaha program prakerja lho",3,3,0,3,"Positif"
"yuk gabung latih prakerja baik kualitas prakerja kunjung latih aplikasi",1,1,0,1,"Positif"
"course prakerja",0,0,0,0,"Netral"
"jual kah sertifikasi prakerja",0,0,0,0,"Netral"
"kerja penerimah upah prakerja jokowi",1,1,0,1,"Positif"
"bayar bpjs pln beli kuota pulsa beli kelas prakerja selalu tokopedia praktis harga lebih miring oiya cashback ovo cashback nya tuh beli pulsa double deh untung",6,5,1,4,"Positif"
"lapis masyarakat bawah sudah berik bantu tahan kak bansos masyarakat miskin kartu prakerja baru kena phk subsidi gaji kerja gaji bawah hibah umkm tinggal eksekusi lapang",6,4,2,2,"Positif"
"tidak salah prakerja deh",2,0,2,-2,"Negatif"
"kartu prakerja belum blt kerja tidak masuk bpjs ketenagakerjaan bpjs sehat bayar nasebmu nas",4,2,2,0,"Netral"
"program kartu prakerja gelombang belum nih",1,0,1,-1,"Negatif"
"anggur quarantine bosan tidak duit jual online tidak laku habis modal iklan cari kerja rumah prakerja tidak lolos cari giat mati bosan",14,4,10,-6,"Negatif"
"skill academy wa pulsa gb akses sa mending munculin sertifikat dashboard prakerja asih pulsa",0,0,0,0,"Netral"
"nasib data valid tidak prakerja tidak cair",5,2,3,-1,"Negatif"
"hasil seko kertu prakerja wae begayaan selingkuh",0,0,0,0,"Netral"
"program prakerja daftar tipu tidak resin warga lapar",2,0,2,-2,"Negatif"
"belum turun duit prakerja",2,0,2,-2,"Negatif"
"latih terampil bantu usaha salur kerja warga prakerja kurang",4,2,2,0,"Netral"
"mekanisme system laku prakerja contoh proses daftar online terima data jadwal salur dana bantu dimonitoring langsung dana proses transfer lebih aman nyaman hindar covid",7,6,1,5,"Positif"
"daftar",0,0,0,0,"Netral"
"tidak kerja daftar prakerja",2,1,1,0,"Netral"
"ingin berkarir industri pangan ahli harus ajar tingkat bidang aman pangan sudah kuasa ahli",5,5,0,5,"Positif"
"ah ampun moga masuk deh hikssss kuota habis latih prakerja moga deh om by the way lancar om",5,2,3,-1,"Negatif"
"jatah prakerja tidak tuh",1,0,1,-1,"Negatif"
"entar aja prakerja belum turun besan pakai",2,0,2,-2,"Negatif"
"jangan bilang prakerja warisin cewek",0,0,0,0,"Netral"
"tidak prah pas lihat ktp teman acc prakerja bentuk warna tidak beda ciri palsu",3,0,3,-3,"Negatif"
"luncur maret program kartu prakerja bijak terobos pemerintah tingkat kualitas sumber daya manusia sdm indonesia",2,2,0,2,"Positif"
"program kartu prakerja rupa inovasi kembang sdm unggul penuh manfaat teknologi digital",5,4,1,3,"Positif"
"kaya tidak fasilitas kik kuk kartu prakerja sembako",2,1,1,0,"Netral"
"assalamualaikum presiden hormat cuma anak buah tidak hati cuit program bsu prakerja",3,2,1,1,"Positif"
"sertifikat akun skill academy sudah muncul dashboard prakerja belum muncul status latih dashboard aktif sudah selesai mohon bantu kendala",1,0,1,-1,"Negatif"
"kartu prakerja belum cair cari makan",2,1,1,0,"Netral"
"subsidi bbm premium solar tuh tidak cabut listrik gratis wh diskon wh impor sudah jarang tani surplus bidang resesi kartu prakerja sudah laksana kadrun tidak terima bijak jokowi",7,4,3,1,"Positif"
"prakerja paham benar ekonomi haru",1,1,0,1,"Positif"
"tidak tunggu dana prakerja cair",2,1,1,0,"Netral"
"sponsor by prakerja",0,0,0,0,"Netral"
"sumpah deh kalo prakerja lolos sudah beli trx",1,1,0,1,"Positif"
"feeling trx naik anjir sudah prediksi garagara tidak lolos prakerja tidak beli",5,2,3,-1,"Negatif"
"hubung kerja belum bsu termin site aps dana bsu on proses tidak bsu ambil contoh program kartu prakerja user cek status insentif terima",6,4,2,2,"Positif"
"assalamualaikum guru honorer sudah daftar prakerja tidak intensif bsu guru honorer orang intensif umkm intensif blt intensif bsu guru honorer tidak adil nih mentri terimakasih mentri",6,2,4,-2,"Negatif"
"hai kak chyntya mohon maaf kena kendala alami informasi data data linkaja prakerja harus suai kak terima kasih rby",3,3,0,3,"Positif"
"halo kak beda nama akun link prakerja alam kakak cair tidak",2,1,1,0,"Netral"
"hati radius alun bansos lurah burangrang tidak adil dana prakerja warga miskin tidak sepeda motor tidak bansos covid",11,4,7,-3,"Negatif"
"akun prakerja tangguh saking komplain netizen",1,0,1,-1,"Negatif"
"coba prakerja yuk cari job freelance sribulancer",1,0,1,-1,"Negatif"
"sertifikat belum jongol dashboard prakerja sudah selesa materi tanggal november",1,0,1,-1,"Negatif"
"bahas program anggur jam gin tidak bukan kartu prakerja latih vokasional lebih unik",4,2,2,0,"Netral"
"rekan milik prakerja bantu subsidi upah tidak adil",5,2,3,-1,"Negatif"
"perssyaratan tidak milik prakerja",1,0,1,-1,"Negatif"
"love story malam minggu mending program kartu prakerja",2,2,0,2,"Positif"
"belum lolos prakerja belum beban",4,1,3,-2,"Negatif"
"innovilage dana nya cair gede tim prakerja tidak anyone",2,1,1,0,"Netral"
"pemerintah bantu nama pkh blt bansos prakerja",1,1,0,1,"Positif"
"boro lama kerja tidak prakerja blt",3,1,2,-1,"Negatif"
"teman bilang program pemerintah tidak manfaat eeeee ngebet kartu prakerja harap bantu bpjs ketenagakerjaan sih kakak hati",3,2,1,1,"Positif"
"untung tukang spanduk nih ayo lulus prakerja buka usaha cetak spanduk",2,2,0,2,"Positif"
"ye prakerja",0,0,0,0,"Netral"
"sadar tidak sih cuma suguh o solutif sudah senang eh kpk lemah eh prakerja tidak eh kerumun pandemi eh pemerintah tidak serius urus pandemi eh paksa pilkada eh paksa uu pandemi dalih kinerja eh eh eh",9,1,8,-7,"Negatif"
"tabe daftar kartu prakerja",0,0,0,0,"Netral"
"prakerja boleh jual tidak sih na",1,0,1,-1,"Negatif"
"stres banget butuh duit pengin jual akun prakerja ilegal",2,0,2,-2,"Negatif"
"reminder tinggal pakai saldo prakerja admin saldo prakerja hangus nih sayang banget sudah biaya latih skill gratis nilai tidak pakai",3,2,1,1,"Positif"
"admin nih kalo saldo prakerja hangus tanggal desember alias kurang sayang banget sudah biaya latih skill gratis nilai tidak pakai",4,2,2,0,"Netral"
"yuk pakai saldo prakerka latih skill academy jangan langsung kunjung pilih kelas suai butuh ingin happy learning teman teman",0,0,0,0,"Netral"
"hati hati lho insentif tidak turun kalo belum selesa latih prakerja ambil biar proses cair insentif lancar yuk selesa kelas latih belum tanggal desember",12,7,5,2,"Positif"
"yuk saldo prakerja skill academy raih manfaat sila isi form tim skill academy hubung selamat ajar teman teman",2,2,0,2,"Positif"
"bingung ingin latih tenang postingan sudah admin rangkum latih favorit prakerja baik latih favorit sedia lho kelas kelas skill academy",5,4,1,3,"Positif"
"sih calon terima tidak daftar terima bansos pemerintah pusat pkh kartu bako paket sembako bpnt kartu prakerja",4,3,1,2,"Positif"
"prakerja sudah cair yuk jalan",1,1,0,1,"Positif"
"calon terima bukan terima bansos pemerintah pusat pkh kartu sembako paket sembako bpnt kartu prakerja calon terima tidak bansos tidak daftar langsung hubung desa",7,5,2,3,"Positif"
"prakerja lanjut tidak bang",1,0,1,-1,"Negatif"
"nder sertifikat arkademi bukan prakerja buka laptop smk mudeng",0,0,0,0,"Netral"
"calon terima hilang mata cahari pandemi corona calon terima tidak daftar terima bansos pemerintah pusat peri pkh kartu sembako paket sembako bantu pangan non tunai bpnt kartu prakerja",7,4,3,1,"Positif"
"calon terima tidak daftar terima bantu sosial bansos pemerintah pusat pkh kartu sembako paket sembako bantu pangan non tunai bpnt kartu prakerja",5,4,1,3,"Positif"
"acara live youtube situ katak guru sudah bantu bpjs prakerja tidak bsu nyata info gtk kemenag tolong benar hati biar adil",5,3,2,1,"Positif"
"tunggu prakerja gelombang",0,0,0,0,"Netral"
"calon terima tidak daftar terima bantu sosial bansos pemerintah pusat peri pkh kartu bako paket sembako bantu pangan non tunai bpnt kartu prakerja",5,4,1,3,"Positif"
"mah tidak ngarti kak pemerintah blt prakerja vaccine covid ayo mumpung gratis gamau kalo bayar cok gratis blt prakerja stop aktivitas selamat lancar jaya aman sentosa",9,5,4,1,"Positif"
"bantu kudu pakai syarat asu usaha kecil tidak kasih bpjs anjing daftar prakerja data tidak daftar pulang kampung kampung tidak terima tuh zolim pemerintah anjing kasih bantu sulit syarat anjing",11,2,9,-7,"Negatif"
"sertifikat prakerja belum cc",1,0,1,-1,"Negatif"
"prakerja",0,0,0,0,"Netral"
"wow sudah prakerja embat",0,0,0,0,"Netral"
"iyo bib turuo duwek prakerja tulung disuwuk ndang metu ben tingkat kepedeanku naik",2,2,0,2,"Positif"
"antri prakerja",1,0,1,-1,"Negatif"
"tidak akun prakerja ku ta",1,0,1,-1,"Negatif"
"kartu prakerja nonaktif tidak pakai tracking hubung info bsu kantor tidak pakai prakerjanya nyata tidak sedih benar yaudah deh ikhlas",5,1,4,-3,"Negatif"
"prakerja sudah buka belum",1,0,1,-1,"Negatif"
"prakerja tidak kak",1,0,1,-1,"Negatif"
"kalo blt bpjs gaji under kalo prakerja tidak daftar",1,0,1,-1,"Negatif"
"kartu prakerja",0,0,0,0,"Netral"
"koyo kartu prakerja wajib berik ulas",0,0,0,0,"Netral"
"sedih daftar prakerja gelombang tidak lolos tidak blt pemerintah bentuk dampak banget gara gara pandemi",6,1,5,-4,"Negatif"
"habis hitung uang prakerja",2,1,1,0,"Netral"
"tanpa kartu prakerja tanpa blt kucoba tahan jalan cek review produk nya",2,0,2,-2,"Negatif"
"sepatu volly ribu baju volly ribu manset kaos kaki ribu total ribu dana dana intensif prakerja",0,0,0,0,"Netral"
"daftar prakerja",0,0,0,0,"Netral"
"lolos prakerja beb",1,1,0,1,"Positif"
"ku kartu prakerja wes",0,0,0,0,"Netral"
"cok gara gara gojek bobol insentif prakerja belum nerima",3,1,2,-1,"Negatif"
"bahagia kalo duit prakerja turun ok terimakasih prakerja sudah teman nganggur",3,2,1,1,"Positif"
"dear akun gojek sudah upgrade gopay plus dana insentif prakerja belum masuk terang dashboard baca hasil transfer cek gopay belum tambah saldo mohon bantu terimakasih",6,4,2,2,"Positif"
"takut pecat kartu prakerja",1,0,1,-1,"Negatif"
"belum ajar latih prakerja bantu usaha mama rumah duit tulis media wattpad pengin senang rencana ajar desember",2,1,1,0,"Netral"
"kalo bos tinggal nyatet besok demo tukang demo bolos bolos langsung pecat rusuh cuma toxic buruh toxic tidak syukur rakus pengin kaya buruh gaji umr dana prakerja kejar blt emplok kerja tidak demo demo wedus",11,3,8,-5,"Negatif"
"indonesia lebih enak tidak kerja duit blt umkm prakerja lapang kerja cina",6,5,1,4,"Positif"
"tidak tau sha tidak erti prakerja teh pas cari youtube testimoni karyawan kantor nyata pengin",2,0,2,-2,"Negatif"
"lebih malas huhu nya tidak ingin kali daftar kerja swasta tidak pns tidak daftar go grab food usaha nya tidak daftar kartu prakerja alas gagal tidak pas submit daftar",9,2,7,-5,"Negatif"
"holkay emis duit prakerja",0,0,0,0,"Netral"
"nadiem bsu tidak guru honorer daftar dapodik sudah tidak prakerja",2,0,2,-2,"Negatif"
"daftar prakerja gelombang gelombang tidak lolos bantu guru honorer tidak tidak layak bantu pemerintah",7,2,5,-3,"Negatif"
"gapok lisensi ribu bansos ribu prakerja hasil ngecheat",2,1,1,0,"Netral"
"andai youuber lokal bahas tps sbmptn masalah prakerja anti mainstream faedah",2,0,2,-2,"Negatif"
"prakerja joki umkm pribadi bantu kelompok tani bentuk barang jual uang tidak konsep bos",1,0,1,-1,"Negatif"
"bayar pajak ngandalin kartu prakerja",0,0,0,0,"Netral"
"prakerja hayoo",0,0,0,0,"Netral"
"salah kirim tau saldo prakerja sudah cair",2,1,1,0,"Netral"
"prakerja",0,0,0,0,"Netral"
"miris harap bantu uang prakerja",0,0,0,0,"Netral"
"banget jangan pakai lama beli voucher latih prakerja aplikasi mudah tinggal login pilih menu prakerja pilih latih ingin",2,1,1,0,"Netral"
"kak nomor kartu keluarga tidak deteksi website prakerja nomor kakak",1,0,1,-1,"Negatif"
"gondok prakerja tidak cair cair",5,2,3,-1,"Negatif"
"senang notif link prakerja",1,1,0,1,"Positif"
"cebong miskin ngantre kartu prakerja",1,0,1,-1,"Negatif"
"kelas data science prakerja seru",0,0,0,0,"Netral"
"jbjb beli pakai saldo prakerja tidak sih",1,0,1,-1,"Negatif"
"prakerja",0,0,0,0,"Netral"
"terima kasih prakerja if you know what i mean",2,2,0,2,"Positif"
"prakerja gelombang buka login informasi kck",0,0,0,0,"Netral"
"kalo update ktp elektronik suai kartu keluarga nik ktp cetak kartu keluarga beda nomor daftar akun prakerja kartu keluarga mohon bantu",0,0,0,0,"Netral"
"berat banget adu mulut eh usir sudah numpanglah rumah teman kos sisa uang kamar maling eh belum lama tipu teman prakerja benar jungkir tidak",8,1,7,-6,"Negatif"
"dot ken sendal gunung greenlight keto puki lolos kartu prakerja anjing",2,1,1,0,"Netral"
"prakerja enak",1,1,0,1,"Positif"
"shopee jangan keduluan bot sih malas banget",1,0,1,-1,"Negatif"
"latih barista bencoolen coffee sila daftar latih barista link",0,0,0,0,"Netral"
"jangan takut pacar hasil ku tara umr jogja tambah transfer kartu prakerja",2,1,1,0,"Netral"
"sayang jarang ajak jalan transfer kartu prakerja belum turun",4,2,2,0,"Netral"
"ih hati banget tipu mengatasnamakan prakerja temenku kena untung buru sadar",4,2,2,0,"Netral"
"hai kak kenal ervira gopay terima dana prakerja gopay uang belum masuk kak sudah kali jam",2,1,1,0,"Netral"
"prakerja",0,0,0,0,"Netral"
"kirim uang prakerja",0,0,0,0,"Netral"
"tunggu duit prakerja turun nih lumayan",2,1,1,0,"Netral"
"prakerja",0,0,0,0,"Netral"
"bikin prakerjamu tidak terima tips pilih latih prakerja cepat sertifikat",3,2,1,1,"Positif"
"drama yoona bukan drama cinta moga tidak cinta cinta bosan lihat drama korea cinta tidak drama yoona hush lebih lingkung kerja anak baru dunia kantor magang fresh graduate prakerja cocok tonton drama",11,8,3,5,"Positif"
"alas ketenagakerjaan prakerja gtk non pns tidak bantu kemendikbud",1,0,1,-1,"Negatif"
"maaf min benar kartu prakerja tidak klaim subsidi upah bpjs",4,3,1,2,"Positif"
"kalah debat bilang buzzerrp kalah pilpres bilang curang dunia cuma milik kaum data kalo data mari adu data kartu prakerja belum sempurna nolong orang masuk daftar",7,1,6,-5,"Negatif"
"belum gila bos calo oknum account cerita daftar pakai e ktp bacot baja duluan daftar kartu prakerja",4,0,4,-4,"Negatif"
"pergi kuterima nasib duit prakerja umur pendek benar deh",3,2,1,1,"Positif"
"kursus prakerja",0,0,0,0,"Netral"
"prakerja doang sing ulih mad sing lianne ore",0,0,0,0,"Netral"
"doang lamun twitter ig youtube fb ngebukanya ning chrome dibuke twitter ig kartu prakerja fb komik nonton film",0,0,0,0,"Netral"
"selamat pagi belum prakerja",2,1,1,0,"Netral"
"gambar lonceng halaman dashboard kartu prakerja",0,0,0,0,"Netral"
"daftar prakerja tidak sudah hidup anak presiden hormat",2,1,1,0,"Netral"
"kak ayas sudah prakerja alhamdulillah arti tinggal tunggu",1,1,0,1,"Positif"
"menteri koordinator bidang ekonomi catat butuh lapang kerja baru capai salah program pemerintah anggur kartu prakerja kawal obl nkri",4,2,2,0,"Netral"
"kak srtifikt dashboard prakerja status aktif sudah srtifikt lembaga email akun tokped brbda email prkerja mohon cerah nya beli latih tokped tidak",2,1,1,0,"Netral"
"pagi min tokped email brbda email daftar kartu prakerja berpenagruh insentif sertifikat tidak",2,1,1,0,"Netral"
"cpns blt bsu prakerja",0,0,0,0,"Netral"
"selamat pagi terima prakerja",2,2,0,2,"Positif"
"fungsi verifikasi kartu prakerja cairin duit bpjs pakai selfie ktp hati",2,2,0,2,"Positif"
"harus sedia lapang kerja pemerintah kartu prakerja sebaga strategi kawal obl nkri",2,2,0,2,"Positif"
"menteri koordinator menko bidang ekonomi airlangga hartarto catat butuh lapang kerja baru capai masalah anggur kartu prakerja kawal obl nkri",4,2,2,0,"Netral"
"blt bpjs blt umkm kartu prakerja alibi korupsi anggar situ gerangan",1,0,1,-1,"Negatif"
"materi kursus latih online gratis program kartu prakerja",1,1,0,1,"Positif"
"sudah belar nya sertifikat muncul dasbord prakerja nya",0,0,0,0,"Netral"
"bantu pemerintah tidak prakerja tidak daftar malas urus ribet eh rejeki tidak nama bantu kemdikbud login susah sekal rejeki tidak",9,2,7,-5,"Negatif"
"masak kalah prakerja prakerja banget sudah pakai gelombang gelombang saking cuma urus honorer mati web nya",2,0,2,-2,"Negatif"
"kartu prakerja uliha blt umkm ulih wih cair",1,1,0,1,"Positif"
"bayar utang subsidi negara nya kalo pakai prakerja gila",3,1,2,-1,"Negatif"
"capek daftar kartu prakerja tidak omong sih cuma mimpi mks mimpi",1,0,1,-1,"Negatif"
"kalo laksana nya lebih spesifik masyarakat hak bantu ouh kait kartu prakerja tidak isu untung program kartu",4,2,2,0,"Netral"
"eh turun prakerja",1,0,1,-1,"Negatif"
